1;name.original;name.unified1;name.unified2;comment;changed in R;ethnicity;coalition;number of partners;coalition.partner1;coalition.partner2;coalition.partner3;coalition.partner4;
345;Hrvatska Seljacka Stranka Bih/hss Bih/sarajevo;Hrvatska Seljacka Stranka (HSS);Hrvatska Seljacka Stranka (HSS);;;C;;;;;;;
368;Hss Bih;Hrvatska Seljacka Stranka (HSS);Hrvatska Seljacka Stranka (HSS);;;C;;;;;;;
369;Hss Stjepana Radica;Hrvatska Seljacka Stranka (HSS);Hrvatska Seljacka Stranka (HSS);;;C;;;;;;;
346;Hrvatska Stranka Prava;Hrvatska Stranka Prava (HSP);Hrvatska Stranka Prava (HSP);;;C;;;;;;;
347;Hrvatska Stranka Prava - Hsp;Hrvatska Stranka Prava (HSP);Hrvatska Stranka Prava (HSP);;;C;;;;;;;
348;Hrvatska Stranka Prava (hsp);Hrvatska Stranka Prava (HSP);Hrvatska Stranka Prava (HSP);;;C;;;;;;;
349;Hrvatska Stranka Prava Bosne I Hercegovine - Dapic - Dr. Jurisic;Hrvatska Stranka Prava (HSP);Hrvatska Stranka Prava (HSP);;;C;;;;;;;
350;Hrvatska Stranka Prava Posavine;Hrvatska Stranka Prava (HSP);Hrvatska Stranka Prava (HSP);;;C;;;;;;;
360;Hsp Bih - Croatia Party Of Bosnia And Herzegovina;Hrvatska Stranka Prava (HSP);Hrvatska Stranka Prava (HSP);;;C;;;;;;;
361;Hsp Bih - Dapic - Dr. Jurisic;Hrvatska Stranka Prava (HSP);Hrvatska Stranka Prava (HSP);;;C;;;;;;;
362;Hsp Bih - Hrvatska Stranka Prava Bosne I Hercegovine;Hrvatska Stranka Prava (HSP);Hrvatska Stranka Prava (HSP);;;C;;;;;;;
694;Pejic Tamara - Hsp Bih - Hrvatska Stranka Prava Bosne I Hercegovine;Hrvatska Stranka Prava (HSP);Hrvatska Stranka Prava (HSP);;;C;;;;;;;
351;Hrvatski Demokrscani;Hrvatski Demokrscani;Hrvatski Demokrscani;;;C;;;;;;;
352;Hrvatski Krscanski Domovinski Preoprod;Hrvatski Krscanski Domovinski Preoprod;Hrvatski Krscanski Domovinski Preoprod;;;C;;;;;;;
353;Hrvatski Krscanski Domovinski Preporod;Hrvatski Krscanski Domovinski Preoprod;Hrvatski Krscanski Domovinski Preoprod;;;C;;;;;;;
354;Hrvatski Narodni Savez Bih (hssbih, Hnz);Koalicija - Hrvatski Narodni Savez Bih (HSS, HNZ);Koalicija - Hrvatski Narodni Savez Bih (HSS, HNZ);;;C;Y;2;Hrvatska Seljacka Stranka (HSS);Hrvatska Narodna Zajednica (HNZ);;;
355;Hrvatski Pravaski Blok - Bih;Hrvatski Pravaski Blok;Hrvatski Pravaski Blok;;;C;;;;;;;
356;Hrvatski Pravaski Blok Bih;Hrvatski Pravaski Blok;Hrvatski Pravaski Blok;;;C;;;;;;;
358;Hrvatski Savez Nova Hrvatska Inicijativa-hrvatska Krscanska Demokratska Unija;Koalicija - Hrvatski Savez - NHI, HKDU;Koalicija - Hrvatski Savez - NHI, HKDU;;;C;y;;;;;;
357;Hrvatski Savez Hss-nhi/nhi-hss;Hrvatski Savez HSS, NHI;Hrvatski Savez HSS, NHI;;;C;y;;;;;;
367;Hss - Nhi;Hrvatski Savez HSS, NHI;Hrvatski Savez HSS, NHI;;;C;;;;;;;
370;Hss-nhi;Hrvatski Savez HSS, NHI;Hrvatski Savez HSS, NHI;;;C;;;;;;;
359;Hrvatsko Zajednistov Herceg-bosne;Hrvatsko Zajednistov Herceg-bosne;Hrvatsko Zajednistov Herceg-bosne;;;C;;;;;;;
5;Abazovic Samir;Abazovic Samir;independent;;;nk;;;;;;;
6;Abdulah Imamovic;Abdulah Imamovic;independent;;;nk;;;;;;;
7;Adem Sertovic - Goran;Adem Sertovic - Goran;independent;;;nk;;;;;;;
8;Adil Imamovic;Adil Imamovic;independent;;;nk;;;;;;;
9;Ahmet Hidic;Ahmet Hidic;independent;;;nk;;;;;;;
10;Ahmetbasic Mirsada;Ahmetbasic Mirsada;independent;;;nk;;;;;;;
11;Ahmetovic Devad;Ahmetovic Devad;independent;;;nk;;;;;;;
12;Ahmetovic Devad - Nezavisni Kandidat;Ahmetovic Devad - Nezavisni Kandidat;independent;;;nk;;;;;;;
14;Ahmo Music;Ahmo Music;independent;;;nk;;;;;;;
15;Ajdin Hanic - Nezavisni Kandidat;Ajdin Hanic - Nezavisni Kandidat;independent;;;nk;;;;;;;
16;Aleksa Njedzic;Aleksa Njedzic;independent;;;nk;;;;;;;
17;Aleksandar Bubalo;Aleksandar Bubalo;independent;;;nk;;;;;;;
18;Aleksandar Gvozdenova;Aleksandar Gvozdenova;independent;;;nk;;;;;;;
19;Aleksic Aleksandar - Nezavisni Kandidat;Aleksic Aleksandar - Nezavisni Kandidat;independent;;;nk;;;;;;;
20;Aleksic Marko - Neovisni Kandidat;Aleksic Marko - Neovisni Kandidat;independent;;;nk;;;;;;;
21;Alen Alicic;Alen Alicic;independent;;;nk;;;;;;;
22;Alen Nuhic;Alen Nuhic;independent;;;nk;;;;;;;
23;Alicic Alen - Nezavisni Kandidat;Alicic Alen - Nezavisni Kandidat;independent;;;nk;;;;;;;
25;Aljic Avdo;Aljic Avdo;independent;2012 with Udruzenje Roma Romski San;;R;;;;;;;
28;Alma Hadzic;Alma Hadzic;independent;;;nk;;;;;;;
29;Almir Kurt-kugla;Almir Kurt-kugla;independent;;;nk;;;;;;;
30;Amitovic Almir - Nezavisni Kandidat;Amitovic Almir - Nezavisni Kandidat;independent;;;nk;;;;;;;
31;Andelko Sakotic;Andelko Sakotic;independent;;;nk;;;;;;;
32;Ante Penavic;Ante Penavic;independent;;;nk;;;;;;;
33;Ante Perko;Ante Perko;independent;;;nk;;;;;;;
34;Anto Matic;Anto Matic;independent;;;nk;;;;;;;
35;Antun Mlinarevic;Antun Mlinarevic;independent;;;nk;;;;;;;
38;Bajrami Fadil - Nezavisni Kandidat;Bajrami Fadil - Nezavisni Kandidat;independent;;;nk;;;;;;;
39;Bajramovic Indira - Nezavisni Kandidat;Bajramovic Indira - Nezavisni Kandidat;independent;;;nk;;;;;;;
41;Bajric Senad - Serdo;Bajric Senad - Serdo;independent;;;nk;;;;;;;
42;Bajro Berilo;Bajro Berilo;independent;;;nk;;;;;;;
44;Bambulovic Sasa - Nezavisni Kandidat;Bambulovic Sasa - Nezavisni Kandidat;independent;;;nk;;;;;;;
45;Banovic Mijo - Nezavisni Kandidat;Banovic Mijo - Nezavisni Kandidat;independent;;;nk;;;;;;;
46;Baristic Ostoja;Baristic Ostoja;independent;;;nk;;;;;;;
49;Basic Slovodan;Basic Slovodan;independent;;;nk;;;;;;;
52;Bedrudin M. Halilovic;Bedrudin M. Halilovic;independent;;;nk;;;;;;;
55;Benovic Milan;Benovic Milan;independent;;;nk;;;;;;;
57;Besirevic Bahrudin - Baja;Besirevic Bahrudin - Baja;independent;;;nk;;;;;;;
58;Beslija Vahid - Nezavisni Kandidat;Beslija Vahid - Nezavisni Kandidat;independent;;;nk;;;;;;;
61;Biberdzic Kata;Biberdzic Kata;independent;;;nk;;;;;;;
62;Biberovic Admir;Biberovic Admir;independent;;;nk;;;;;;;
63;Biga Jovo - Nezavisni Kandidat;Biga Jovo - Nezavisni Kandidat;independent;;;nk;;;;;;;
64;Sonja Picek - Simic;Sonja Picek - Simic;independent;corrected;;nk;;;;;;;
65;Bihacka Gradanska Alternativa;Bihacka Gradanska Alternativa;independent;corrected;;M;;;;;;;
66;Birnas Sabic;Birnas Sabic;independent;;;nk;;;;;;;
67;Blagica Ljubic;Blagica Ljubic;independent;;;nk;;;;;;;
68;Blazevic Milorad - Nezavisni Kandidat;Blazevic Milorad - Nezavisni Kandidat;independent;;;nk;;;;;;;
70;Bocij Edvard - Nezavisni Kandidat;Bocij Edvard - Nezavisni Kandidat;independent;;;nk;;;;;;;
71;Bojan Savic;Bojan Savic;independent;;;nk;;;;;;;
74;Borislav Radisic;Borislav Radisic;independent;;;nk;;;;;;;
75;Borko Dzajic;Borko Dzajic;independent;;;nk;;;;;;;
86;Bosko Nikic;Bosko Nikic;independent;;;nk;;;;;;;
87;Bosko - Jovan - Banovic;Bosko - Jovan - Banovic;independent;;;nk;;;;;;;
91;Bosnjak Lidija - Neovisni Kandidat;Bosnjak Lidija - Neovisni Kandidat;independent;;;nk;;;;;;;
95;Bozic Miodrag - Nezavisni Kandidat;Bozic Miodrag - Nezavisni Kandidat;independent;;;nk;;;;;;;
97;Brabenec Miroslav - Nezavisni Kandidat;Brabenec Miroslav - Nezavisni Kandidat;independent;;;nk;;;;;;;
98;Braco Beckanovic;Braco Beckanovic;independent;;;nk;;;;;;;
99;Branislav Motika - Mota;Branislav Motika - Mota;independent;;;nk;;;;;;;
100;Branislav Ristic;Branislav Ristic;independent;;;nk;;;;;;;
101;Branislav Stjepanovic;Branislav Stjepanovic;independent;;;nk;;;;;;;
102;Branko Hrkac;Branko Hrkac;independent;;;nk;;;;;;;
103;Branko Savic;independent;independent;;;nk;;;;;;;
106;Buljan Iva - Neovisni Kandidat;Buljan Iva - Neovisni Kandidat;independent;;;nk;;;;;;;
107;Bundalo Jelena - Nezavisna Lista - Za Moj Grad;Bundalo Jelena - Nezavisna Lista - Za Moj Grad;independent;;;nk;;;;;;;
109;Butulija Milka - Nezavisni Kandidat;Butulija Milka - Nezavisni Kandidat;independent;;;nk;;;;;;;
110;Catic Sejdo;Catic Sejdo;independent;;;nk;;;;;;;
111;Causevic Zijad;Causevic Zijad;independent;;;nk;;;;;;;
112;Ceki Nenad - Neovisni Kandidat;Ceki Nenad - Neovisni Kandidat;independent;;;nk;;;;;;;
113;Celic Marko;Celic Marko;independent;;;nk;;;;;;;
114;Celic Sead;Celic Sead;independent;;;nk;;;;;;;
115;Celikovic Mensur;Celikovic Mensur;independent;;;nk;;;;;;;
116;Ceric Edin - Nezavisni Kandidat;Ceric Edin - Nezavisni Kandidat;independent;;;nk;;;;;;;
117;Cilic Idriz - Nezavisni Kandidat;Cilic Idriz - Nezavisni Kandidat;independent;;;nk;;;;;;;
119;Cizmic Sead - Sedo;Cizmic Sead - Sedo;independent;;;nk;;;;;;;
120;Cizmo Mersad - Nezavisni Kandidat;Cizmo Mersad - Nezavisni Kandidat;independent;;;nk;;;;;;;
122;Cosic Demal - Nezavisni Kandidat;Cosic Demal - Nezavisni Kandidat;independent;;;nk;;;;;;;
123;Crnovic Refik - Nezavisni Kandidat;Crnovic Refik - Nezavisni Kandidat;independent;;;nk;;;;;;;
127;Damir Boksic;Damir Boksic;independent;;;nk;;;;;;;
128;Damir Ivankovic;Damir Ivankovic;independent;;;nk;;;;;;;
129;Damjanovic Stojan - Nezavisni Kandidat;Damjanovic Stojan - Nezavisni Kandidat;independent;;;nk;;;;;;;
130;Danijela Predojevic;Danijela Predojevic;independent;;;nk;;;;;;;
131;Davidoski Dajel;Davidoski Dajel;independent;;;nk;;;;;;;
132;Davidoski Danijel - Nezavisni Kandidat;Davidoski Danijel - Nezavisni Kandidat;independent;;;nk;;;;;;;
133;Dedic Haris - Nezavisni Kandidat;Dedic Haris - Nezavisni Kandidat;independent;;;nk;;;;;;;
134;Dedic Osman - Nezavisni Kandidat;Dedic Osman - Nezavisni Kandidat;independent;;;nk;;;;;;;
135;Dedijer Ing. Lasar;independent;independent;;;nk;;;;;;;
136;Dedijer Ing. Lazar;independent;independent;;;nk;;;;;;;
138;Deket Vladimir - Nezavisni Kandidat;Deket Vladimir - Nezavisni Kandidat;independent;;;nk;;;;;;;
139;Dekic Aleksandar - Nezavisni Kandidat;Dekic Aleksandar - Nezavisni Kandidat;independent;;;nk;;;;;;;
140;Delic Milorad - Nezavisni Kandidat;Delic Milorad - Nezavisni Kandidat;independent;;;nk;;;;;;;
141;Delija Meho - Nezavisni Kandidat;Delija Meho - Nezavisni Kandidat;independent;;;nk;;;;;;;
171;Denjagic Alija - Nezavisni Kandidat;Denjagic Alija - Nezavisni Kandidat;independent;;;nk;;;;;;;
172;Derliong Alojzij;Derliong Alojzij;independent;;;nk;;;;;;;
173;Deuric Nebojsa - Nezavisni Kandidat;Deuric Nebojsa - Nezavisni Kandidat;independent;;;nk;;;;;;;
174;Diko Ivkovic;Diko Ivkovic;independent;;;nk;;;;;;;
175;Dimitrije Tomic;Dimitrije Tomic;independent;;;nk;;;;;;;
176;Dipl. Ing. Hasan (husein) Kreho;Dipl. Ing. Hasan (husein) Kreho;independent;;;nk;;;;;;;
178;Dobrisav Milinkovic;Dobrisav Milinkovic;independent;;;nk;;;;;;;
179;Dogic Mirza - Nezavisni Kandidat;Dogic Mirza - Nezavisni Kandidat;independent;;;nk;;;;;;;
180;Dorde Durdevic;Dorde Durdevic;independent;;;nk;;;;;;;
181;Dorde Pajic;Dorde Pajic;independent;;;nk;;;;;;;
182;Doric Aleksandar - Nezavisni Kandidat;Doric Aleksandar - Nezavisni Kandidat;independent;;;nk;;;;;;;
184;Dr. Dragan M. Golijan;Dr. Dragan M. Golijan;independent;;;nk;;;;;;;
185;Dr. Mustafa Ikic;Dr. Mustafa Ikic;independent;;;nk;;;;;;;
186;Dragan Boksic;Dragan Boksic;independent;;;nk;;;;;;;
187;Dragan Boksic - Nezavisni Kandidat;Dragan Boksic - Nezavisni Kandidat;independent;;;nk;;;;;;;
188;Dragan Dujkovic;Dragan Dujkovic;independent;;;nk;;;;;;;
189;Dragan Dzombic;Dragan Dzombic;independent;;;nk;;;;;;;
190;Dragan Ikonic;Dragan Ikonic;independent;;;nk;;;;;;;
191;Dragan Kvesic;Dragan Kvesic;independent;;;nk;;;;;;;
192;Dragan Milcanovic;Dragan Milcanovic;independent;;;nk;;;;;;;
193;Drago Komusanac;Drago Komusanac;independent;;;nk;;;;;;;
194;Drago Kovacevic;Drago Kovacevic;independent;;;nk;;;;;;;
195;Drago Mrvalj;Drago Mrvalj;independent;;;nk;;;;;;;
196;Dragoslav Lazic;Dragoslav Lazic;independent;;;nk;;;;;;;
197;Dragoslav Maksimovic Makso;Dragoslav Maksimovic Makso;independent;;;nk;;;;;;;
198;Drazenko Kvesic;Drazenko Kvesic;independent;;;nk;;;;;;;
199;Drobnjak Bozidar - Nezavisni Kandidat;Drobnjak Bozidar - Nezavisni Kandidat;independent;;;nk;;;;;;;
202;Dudorovic Vojislav;Dudorovic Vojislav;independent;;;nk;;;;;;;
203;Dujakovic Dragan - Nezavisni Kandidat;Dujakovic Dragan - Nezavisni Kandidat;independent;;;nk;;;;;;;
204;Dujmovic Dalibor - Neovisni Kandidat;Dujmovic Dalibor - Neovisni Kandidat;independent;;;nk;;;;;;;
205;Dujmusic-vidakovic Jasna - Nezavisni Kandidat;Dujmusic-vidakovic Jasna - Nezavisni Kandidat;independent;;;nk;;;;;;;
206;Dukic Dragan - Nezavisni Kandidat;Dukic Dragan - Nezavisni Kandidat;independent;;;nk;;;;;;;
207;Duric Mevludin - Nezavisni Kandidat;Duric Mevludin - Nezavisni Kandidat;independent;;;nk;;;;;;;
208;Dusan Kurnoga;Dusan Kurnoga;independent;;;nk;;;;;;;
209;Dusan Minov;Dusan Minov;independent;;;nk;;;;;;;
210;Dysan Milicevic;Dysan Milicevic;independent;;;nk;;;;;;;
211;Dzafer Letic - Nezavisni Kandidat;Dzafer Letic - Nezavisni Kandidat;independent;;;nk;;;;;;;
212;Dzelil Zukic - Nezavisni Kandidat;Dzelil Zukic - Nezavisni Kandidat;independent;;;nk;;;;;;;
213;Dzevdet Gabela - Dzedza;Dzevdet Gabela - Dzedza;independent;;;nk;;;;;;;
215;Edin Arnautovic - Edo;Edin Arnautovic - Edo;independent;;;nk;;;;;;;
216;Ejub Bahtic;Ejub Bahtic;independent;;;nk;;;;;;;
223;Ekrem Fetic;Ekrem Fetic;independent;;;nk;;;;;;;
224;Ekrem Kaljanac;Ekrem Kaljanac;independent;;;nk;;;;;;;
225;Ekrem Kamaric - Torta;Ekrem Kamaric - Torta;independent;;;nk;;;;;;;
227;Elmir-miro Hadzialic;Elmir-miro Hadzialic;independent;;;nk;;;;;;;
228;Emir Beganovic;Emir Beganovic;independent;;;nk;;;;;;;
229;Enver Dizdar;Enver Dizdar;independent;;;nk;;;;;;;
230;Enver Ibrahimkadic;Enver Ibrahimkadic;independent;;;nk;;;;;;;
231;Erceg Jovan;Erceg Jovan;independent;;;nk;;;;;;;
232;Eric Nenad - Nezavisni Kandidat;Eric Nenad - Nezavisni Kandidat;independent;;;nk;;;;;;;
233;Ernag Begovic;Ernag Begovic;independent;;;nk;;;;;;;
234;Esad Bajtal;Esad Bajtal;independent;;;nk;;;;;;;
236;Fadil Mujkic;Fadil Mujkic;independent;;;M;;;;;;;
237;Fadila Turki;Fadila Turki;independent;;;nk;;;;;;;
238;Fadlija Bambur;Fadlija Bambur;independent;;;nk;;;;;;;
239;Fafulic Mujo - Nezavisni Kandidat;Fafulic Mujo - Nezavisni Kandidat;independent;;;nk;;;;;;;
240;Fahredin Adem;Fahredin Adem;independent;;;nk;;;;;;;
241;Fahrudin Sejdinovic;Fahrudin Sejdinovic;independent;;;nk;;;;;;;
242;Faruk Ticic;Faruk Ticic;independent;;;nk;;;;;;;
243;Fehim Zecevic;Fehim Zecevic;independent;;;nk;;;;;;;
244;Fejzic Sanela - Nezavisni Kandidat;Fejzic Sanela - Nezavisni Kandidat;independent;;;nk;;;;;;;
245;Ferdo Galic;Ferdo Galic;independent;;;nk;;;;;;;
246;Ferhatovic Alija - Nezavisni Kandidat;Ferhatovic Alija - Nezavisni Kandidat;independent;;;nk;;;;;;;
248;Ferid Neimarlija;Ferid Neimarlija;independent;;;nk;;;;;;;
249;Ferizovic Izudin - Nezavisni Kandidat;Ferizovic Izudin - Nezavisni Kandidat;independent;;;nk;;;;;;;
250;Fikret Dukic;Fikret Dukic;independent;;;nk;;;;;;;
254;Gavric Julijana - Nezavisni Kandidat;Gavric Julijana - Nezavisni Kandidat;independent;;;nk;;;;;;;
256;Gluhic Besim - Nezavisni Kandidat;Gluhic Besim - Nezavisni Kandidat;independent;;;nk;;;;;;;
257;Gojkovic Slavko - Nezavisni Kandidat;Gojkovic Slavko - Nezavisni Kandidat;independent;;;nk;;;;;;;
258;Golijan Mile - Nezavisni Kandidat;Golijan Mile - Nezavisni Kandidat;independent;;;nk;;;;;;;
259;Goluza Tihomir - Nezavisni Kandidat;Goluza Tihomir - Nezavisni Kandidat;independent;;;nk;;;;;;;
260;Goran Karacic;Goran Karacic;independent;;;nk;;;;;;;
261;Goran Rudanovic;Goran Rudanovic;independent;;;nk;;;;;;;
262;Goran Zunic;Goran Zunic;independent;;;nk;;;;;;;
263;Gotovac Lazar - Nezavisni Kandidat;Gotovac Lazar - Nezavisni Kandidat;independent;;;nk;;;;;;;
271;Grbesic Ivan - Neovisni Kandidat;Grbesic Ivan - Neovisni Kandidat;independent;;;nk;;;;;;;
273;Gusic Sefik - Nezavisni Kandidat;Gusic Sefik - Nezavisni Kandidat;independent;;;nk;;;;;;;
274;H. Muhamedovic Fadil - Nezavisni Kandidat;H. Muhamedovic Fadil - Nezavisni Kandidat;independent;;;nk;;;;;;;
276;Hadzisejdic Egon;Hadzisejdic Egon;independent;;;nk;;;;;;;
277;Hakic Muharem;Hakic Muharem;independent;;;nk;;;;;;;
278;Hakic Muharem - Nezavisni Kandidat;Hakic Muharem - Nezavisni Kandidat;independent;;;nk;;;;;;;
281;Hamdija Razic;Hamdija Razic;independent;;;nk;;;;;;;
283;Hasagic Muharem - Nezavisni Kandidat;Hasagic Muharem - Nezavisni Kandidat;independent;;;nk;;;;;;;
284;Hasan (husein) Kreho;Hasan (husein) Kreho;independent;;;nk;;;;;;;
286;Hasib Kapic;Hasib Kapic;independent;;;nk;;;;;;;
287;Havreljuk Stevo - Nezavisni Kandidat;Havreljuk Stevo - Nezavisni Kandidat;independent;;;nk;;;;;;;
300;Heric Nurif - Nezavisni Kandidat;Heric Nurif - Nezavisni Kandidat;independent;;;nk;;;;;;;
301;Hilva Pezo;Hilva Pezo;independent;;;nk;;;;;;;
306;Hotovic Sead - Nezavisni Kandidat;Hotovic Sead - Nezavisni Kandidat;independent;;;nk;;;;;;;
307;Hrkac Branko - Neovisni Kandidat;Hrkac Branko - Neovisni Kandidat;independent;;;nk;;;;;;;
371;Husein Samaradzic;Husein Samaradzic;independent;;;nk;;;;;;;
373;Husic Sefik;Husic Sefik;independent;;;nk;;;;;;;
375;Ibran Mustafic;Ibran Mustafic;independent;;;nk;;;;;;;
376;Ibro Helja;Ibro Helja;independent;;;nk;;;;;;;
377;Idriz Cilic;Idriz Cilic;independent;;;nk;;;;;;;
378;Igor(slobodan) Ruzic;Igor(slobodan) Ruzic;independent;;;nk;;;;;;;
379;Ilhan Kadic;Ilhan Kadic;independent;;;nk;;;;;;;
380;Ilijas Begic;Ilijas Begic;independent;;;nk;;;;;;;
381;Ilijas Sabic;Ilijas Sabic;independent;;;nk;;;;;;;
382;Ilova;Ilova;independent;;;nk;;;;;;;
383;Imamovic Ekrem;Imamovic Ekrem;independent;;;nk;;;;;;;
385;Ismail Omeragic;Ismail Omeragic;independent;;;nk;;;;;;;
387;Ivan Dolic;Ivan Dolic;independent;;;nk;;;;;;;
388;Ivankovic Jure - Neovisni Kandidat;Ivankovic Jure - Neovisni Kandidat;independent;;;nk;;;;;;;
389;Ivankovic Radoslav - Nezavisni Kandidat;Ivankovic Radoslav - Nezavisni Kandidat;independent;;;nk;;;;;;;
390;Ivica Sabljic;Ivica Sabljic;independent;;;nk;;;;;;;
393;Izet Kadic;Izet Kadic;independent;;;nk;;;;;;;
394;Izidin;Izidin;independent;;;nk;;;;;;;
395;Izudin Mehmedovic (izarica);Izudin Mehmedovic (izarica);independent;;;nk;;;;;;;
397;Jakovljevic Branka;Jakovljevic Branka;independent;;;nk;;;;;;;
398;Jankovic Mladenka - Nezavisni Kandidat;Jankovic Mladenka - Nezavisni Kandidat;independent;;;nk;;;;;;;
400;Jedinstvena Mostarska Lista;Jedinstvena Mostarska Lista;independent;;;nk;;;;;;;
401;Jelenko Moconja;Jelenko Moconja;independent;;;nk;;;;;;;
402;Jevrejsk Opstina U Doboju - Nezavisni Kandidat;Jevrejsk Opstina U Doboju - Nezavisni Kandidat;independent;;;nk;;;;;;;
403;Jevtic Ognjen - Nezavisni Kandidat;Jevtic Ognjen - Nezavisni Kandidat;independent;;;nk;;;;;;;
404;Jojic Uros;Jojic Uros;independent;;;nk;;;;;;;
405;Jokic Jugoslav-tursija;Jokic Jugoslav-tursija;independent;;;nk;;;;;;;
406;Josip Vincetic;Josip Vincetic;independent;;;nk;;;;;;;
408;Jovanic Dusan - Nezavisni Kandidat;Jovanic Dusan - Nezavisni Kandidat;independent;;;nk;;;;;;;
410;Jugo Amir - Nezavisni Kandidat;Jugo Amir - Nezavisni Kandidat;independent;;;nk;;;;;;;
412;Jurcic Josip - Neovisni Kandidat;Jurcic Josip - Neovisni Kandidat;independent;;;nk;;;;;;;
413;Jusic Nedzad - Nezavisni Kandidat;Jusic Nedzad - Nezavisni Kandidat;independent;;;nk;;;;;;;
414;Jusuf Musibegovic;Jusuf Musibegovic;independent;;;nk;;;;;;;
416;Kanadsko Ukrajinsko Humintarno Uduzenje Veselka - Nezavisni Kandidat;Kanadsko Ukrajinsko Humintarno Uduzenje Veselka - Nezavisni Kandidat;independent;;;nk;;;;;;;
419;Kevric Nezir - Nezavisni Kandidat;Kevric Nezir - Nezavisni Kandidat;independent;;;nk;;;;;;;
420;Kiperovic Nenad - Nezavisni Kandidat;Kiperovic Nenad - Nezavisni Kandidat;independent;;;nk;;;;;;;
424;Knezevic (slavko) Goran;Knezevic (slavko) Goran;independent;;;nk;;;;;;;
441;Koblar Perica;Koblar Perica;independent;;;nk;;;;;;;
442;Kolar Bogdan;Kolar Bogdan;independent;;;nk;;;;;;;
443;Koljancic Dusan;Koljancic Dusan;independent;;;nk;;;;;;;
446;Kopilas Ruzica - Neovisni Kandidat;Kopilas Ruzica - Neovisni Kandidat;independent;;;nk;;;;;;;
447;Kovc Darko - Nezavisni Kandidat;Kovc Darko - Nezavisni Kandidat;independent;;;nk;;;;;;;
448;Kraljevic Ana - Neovisni Kandidat;Kraljevic Ana - Neovisni Kandidat;independent;;;nk;;;;;;;
450;Krstanovic Sreten;Krstanovic Sreten;independent;;;nk;;;;;;;
451;Kuduzovic Jasmina - Nezavisni Kandidat;Kuduzovic Jasmina - Nezavisni Kandidat;independent;;;nk;;;;;;;
452;Kukolj Safet - Nezavisni Kandidat;Kukolj Safet - Nezavisni Kandidat;independent;;;nk;;;;;;;
453;Kulturno - Prosvjetno Udruzenje Ukrajinaca Taras Sevcenko - Nezavisni Kandidat;Kulturno - Prosvjetno Udruzenje Ukrajinaca Taras Sevcenko - Nezavisni Kandidat;independent;;;nk;;;;;;;
455;Kutlovac Asim - Nezavisni Kandidat;Kutlovac Asim - Nezavisni Kandidat;independent;;;nk;;;;;;;
457;Lazar Kusic;Lazar Kusic;independent;;;nk;;;;;;;
458;Lazic Dragoslav - Nezavisni Kandidat;Lazic Dragoslav - Nezavisni Kandidat;independent;;;nk;;;;;;;
463;Letic Merita - Nezavisni Kandidat;Letic Merita - Nezavisni Kandidat;independent;;;nk;;;;;;;
467;Lista Nezavisnih Kandidata - Prnjavo Rmala Evropa;Lista Nezavisnih Kandidata - Prnjavo Rmala Evropa;independent;;;nk;;;;;;;
468;Lista Nezavisnih Kandidata Gm4;Lista Nezavisnih Kandidata Gm4;independent;;;nk;;;;;;;
469;Lista Nezavisnih Kandidata Opstine Prnjavor;Lista Nezavisnih Kandidata Opstine Prnjavor;independent;;;nk;;;;;;;
470;Lista Nezavisnih Kandidata Vojo Jovanovic;Lista Nezavisnih Kandidata Vojo Jovanovic;independent;;;nk;;;;;;;
471;Lista Nezavisnih Kandidata Za Gradacac;Lista Nezavisnih Kandidata Za Gradacac;independent;;;nk;;;;;;;
472;Lista Za Bihac;Lista Za Bihac;independent;;;nk;;;;;;;
474;Lista Za Bugojno;Lista Za Bugojno;independent;;;nk;;;;;;;
477;Lista Za Modricu;Lista Za Modricu;independent;;;nk;;;;;;;
478;Lista Za Neum;Lista Za Neum;independent;;;nk;;;;;;;
479;Livadic Fikret;Livadic Fikret;independent;;;nk;;;;;;;
481;Ljubomir Jugovic;Ljubomir Jugovic;independent;;;nk;;;;;;;
483;Luka Nedic;Luka Nedic;independent;;;nk;;;;;;;
484;Lukic Marijan - Nezavisni Kandidat;Lukic Marijan - Nezavisni Kandidat;independent;;;nk;;;;;;;
486;Lukic Vladan - Nezavisni Kandidat;Lukic Vladan - Nezavisni Kandidat;independent;;;nk;;;;;;;
487;Majic Ljilja - Neovisni Kandidat;Majic Ljilja - Neovisni Kandidat;independent;;;nk;;;;;;;
488;Maksim Stanisic;Maksim Stanisic;independent;;;nk;;;;;;;
490;Maletic Doko;Maletic Doko;independent;;;nk;;;;;;;
492;Mamela Nusret - Maso;Mamela Nusret - Maso;independent;;;nk;;;;;;;
493;Mandeganja Nada - Nezavisni Kandidat;Mandeganja Nada - Nezavisni Kandidat;independent;;;nk;;;;;;;
495;Mandzuka Amel - Nezavisni Kandidat;Mandzuka Amel - Nezavisni Kandidat;independent;;;nk;;;;;;;
497;Marjanoci Zoran;Marjanoci Zoran;independent;;;nk;;;;;;;
498;Marko Grabovac;Marko Grabovac;independent;;;nk;;;;;;;
499;Marko Lusic;Marko Lusic;independent;;;nk;;;;;;;
500;Marko Tomic;Marko Tomic;independent;;;nk;;;;;;;
501;Markovic Dragan;Markovic Dragan;independent;;;nk;;;;;;;
502;Markovic Dragan - Nezavisni Kandidat;Markovic Dragan - Nezavisni Kandidat;independent;;;nk;;;;;;;
